distance_km,traffic_level,rain_mm,departure_min,vehicle_type,travel_time_min
7.93,4,0.0,166,1,32.7
8.02,2,6.0,155,1,37.3
7.5,7,0.0,145,1,40.5
7.95,3,0.0,65,1,27.1
8.09,5,0.0,156,0,39.1
8.37,1,1.8,103,1,27.3
7.87,3,1.7,180,0,38.4
7.8,3,4.3,145,1,41.8
7.87,2,0.8,163,1,32.1
8.23,7,1.2,152,0,47.1
8.08,8,0.0,135,1,48.5
7.87,5,5.9,150,0,42.1
8.13,8,2.6,136,0,52.6
8.02,3,0.0,44,0,31.7
8.24,4,0.0,101,0,36.3
7.82,3,2.4,96,0,34.5
7.92,6,1.8,150,0,43.3
7.9,5,1.3,133,0,40.0
7.63,6,5.4,137,1,42.7
8.07,7,1.6,165,0,45.2
8.07,6,0.0,126,1,39.5
8.0,6,0.0,79,0,35.7
7.94,9,0.0,33,1,45.0
7.65,4,0.0,68,1,35.4
7.89,5,0.0,38,0,37.5
7.91,7,0.0,83,1,41.9
7.8,6,0.0,140,1,36.4
7.96,3,1.0,66,0,38.6
8.1,5,0.0,51,0,38.4
8.47,5,6.8,178,1,38.8
8.04,5,7.6,180,0,49.7
8.06,3,0.0,140,1,35.1
7.98,9,0.0,57,1,49.1
7.52,7,3.7,162,0,51.3
7.99,5,2.6,128,1,42.4
8.02,7,0.0,72,0,44.0
8.62,8,0.0,133,1,47.3
7.95,3,0.0,41,1,26.5
8.08,4,0.0,178,1,35.5
7.99,6,0.0,162,1,49.0
7.71,8,0.0,87,0,39.3
8.29,1,0.0,112,1,29.2
8.19,10,5.0,108,0,53.6
8.2,5,0.0,166,0,44.0
7.77,5,3.5,102,0,41.2
8.35,4,9.3,43,0,45.2
7.65,3,9.0,79,0,38.5
8.15,8,0.0,79,0,47.7
8.55,9,0.0,175,0,52.5
7.75,5,7.9,173,0,44.4
7.86,9,2.8,93,0,47.6
8.02,8,0.0,30,0,47.4
7.87,5,0.0,125,1,38.3
7.61,7,5.7,159,1,47.6
8.02,5,0.0,88,0,42.5
7.73,6,0.0,114,0,39.4
8.12,2,3.7,71,1,30.2
7.77,7,0.0,98,0,41.7
8.39,2,0.0,155,0,38.1
7.8,8,16.2,113,1,52.5
7.92,8,0.0,116,0,46.4
8.2,4,0.0,158,1,32.9
7.69,4,0.0,155,0,40.1
8.06,5,0.0,73,1,37.9
8.33,6,5.6,111,0,47.4
7.6,4,0.0,165,1,35.2
8.05,6,0.0,117,1,42.0
8.06,4,0.0,143,0,38.1
8.2,2,0.0,94,1,34.0
7.69,1,0.0,46,1,26.9
7.67,2,0.0,69,0,26.9
8.13,8,0.0,109,1,42.8
8.07,9,0.0,102,0,49.0
8.06,5,0.0,170,0,39.2
8.09,6,3.1,129,0,47.4
7.83,3,0.0,139,1,26.4
8.06,6,0.0,147,1,42.2
8.07,3,0.0,127,1,34.7
7.82,6,1.7,156,0,37.5
8.47,9,0.0,158,1,48.0
8.12,3,5.4,102,0,36.9
7.7,7,0.0,52,0,45.5
8.16,1,6.2,179,0,34.2
7.76,5,0.0,141,1,39.0
8.2,2,1.0,149,1,35.0
8.29,5,5.3,155,0,43.4
7.79,3,0.0,138,1,36.1
8.24,5,0.0,119,0,38.9
8.1,5,0.0,179,0,45.6
8.21,4,0.0,151,0,46.7
8.47,7,0.9,164,0,49.8
7.94,9,0.0,115,0,49.9
7.81,5,0.0,171,1,36.2
7.78,3,0.0,152,0,41.2
7.8,4,0.0,153,0,40.6
7.98,8,3.3,52,1,41.7
8.09,6,0.4,138,0,47.3
8.07,5,0.0,99,0,39.5
8.21,3,2.5,144,0,40.0
8.0,5,0.2,132,0,38.8
8.36,4,0.0,58,0,33.6
7.93,9,8.3,127,0,50.8
8.68,8,0.0,116,0,46.6
8.16,2,0.0,157,0,36.0
7.79,6,0.0,123,1,37.5
7.73,3,2.8,120,0,33.8
8.12,5,0.0,150,0,37.9
7.94,8,0.0,144,1,47.6
8.18,6,0.0,180,1,40.7
8.12,4,0.0,102,0,31.3
7.98,3,1.9,147,1,34.1
7.79,8,0.0,70,1,39.9
7.62,6,0.0,160,0,42.7
7.89,5,0.0,158,1,35.8
8.21,3,0.0,151,0,40.5
8.05,4,0.0,60,0,35.3
7.69,9,0.0,179,1,45.8
8.04,6,0.0,175,1,39.6
8.1,5,0.0,104,0,40.8
7.78,6,0.0,133,1,39.8
8.04,7,0.0,169,0,44.4
8.01,4,1.0,122,0,38.2
7.71,3,0.0,136,0,34.2
8.09,6,1.2,136,1,42.8
8.14,7,0.0,142,0,41.1
8.27,7,0.0,133,0,44.0
8.26,8,0.0,110,0,46.0
7.66,5,0.0,128,0,43.2
7.77,2,0.0,167,0,37.4
8.13,9,3.8,166,0,53.6
8.13,5,0.0,156,1,35.0
8.13,6,0.0,111,0,42.0
8.7,7,0.0,158,0,52.5
8.14,6,10.0,107,0,47.3
8.28,3,1.3,144,0,37.8
8.24,7,0.0,132,0,45.5
8.16,8,0.0,93,1,40.2
7.92,6,0.0,116,1,36.1
8.19,5,3.1,163,0,40.8
7.81,2,2.6,172,1,31.8
7.94,2,2.7,77,1,31.5
7.88,4,0.0,117,0,37.5
8.02,4,0.0,114,0,38.8
8.58,9,5.5,121,0,59.7
7.53,7,2.7,178,0,54.0
8.17,7,8.9,125,0,50.2
7.6,6,0.0,163,1,41.9
7.88,3,0.0,144,1,34.6
8.27,10,0.0,57,0,52.6
8.02,5,1.9,148,0,44.8
7.73,2,0.0,142,0,31.4
7.82,5,0.0,155,1,43.1
8.17,8,0.0,49,1,46.1
7.82,8,0.0,83,1,44.5
8.05,1,0.0,156,1,31.1
8.01,8,0.0,104,0,46.9
7.84,4,0.0,171,1,36.1
8.54,1,4.9,125,0,37.6
8.16,8,3.6,30,0,46.8
7.49,8,0.0,148,0,46.9
8.05,6,3.6,125,0,44.3
7.83,6,0.0,96,0,40.3
8.21,8,1.5,35,1,47.8
7.8,7,2.4,76,1,41.3
7.97,8,0.0,68,0,43.7
8.13,6,0.0,134,0,43.4
8.22,9,0.0,156,1,43.8
7.7,10,10.4,82,0,58.1
7.92,2,0.0,148,1,31.1
7.88,8,0.0,170,0,46.8
7.84,5,0.0,139,1,35.9
8.44,5,5.7,157,0,40.9
8.1,6,2.8,77,0,48.3
7.68,2,0.0,50,1,28.1
8.23,6,2.5,104,1,46.2
8.53,8,2.1,149,0,49.3
8.26,3,5.1,146,1,38.5
7.62,5,0.0,176,0,42.9
7.88,9,0.0,140,0,50.6
8.32,5,0.0,111,1,36.2
7.82,5,0.0,159,0,35.4
8.11,5,0.0,67,1,42.5
8.19,6,0.0,161,0,41.7
7.77,6,0.0,104,1,45.8
7.99,8,0.0,67,0,43.2
7.3,5,0.0,69,0,40.9
7.74,8,0.0,179,1,46.5
7.94,6,7.1,139,0,48.8
7.69,4,3.0,71,1,32.5
8.41,7,0.0,88,0,43.2
7.64,7,3.0,105,0,43.7
7.89,6,0.0,45,0,40.1
8.03,2,5.3,57,1,31.1
8.36,3,0.0,155,1,32.9
7.64,4,0.0,158,0,35.2
8.29,4,0.0,179,1,34.7
8.0,7,0.0,48,1,40.4
7.75,1,0.0,169,1,26.5
8.12,7,0.0,96,0,40.3
8.05,4,0.0,98,1,34.3
7.85,4,5.6,61,0,32.1
8.02,6,0.0,179,0,43.6
7.9,3,0.0,179,1,34.0
8.03,8,0.0,166,1,46.3
8.17,2,5.9,53,1,33.0
8.4,5,0.0,164,0,38.1
7.69,8,0.0,140,1,42.5
8.53,6,0.0,62,0,43.3
7.51,4,0.0,87,1,33.4
7.96,5,0.0,147,0,38.0
8.15,7,0.0,160,0,46.8
8.07,10,0.0,165,1,51.9
7.84,8,0.0,129,0,43.1
7.95,4,0.0,128,1,28.6
7.88,10,0.0,146,0,56.4
7.85,1,0.0,157,1,29.5
8.21,1,3.2,70,0,30.4
8.09,8,0.0,153,0,45.9
7.83,3,0.8,100,0,35.1
8.22,2,0.0,106,1,33.3
8.08,4,0.0,50,0,31.0
8.2,5,9.4,134,0,45.0
8.16,7,0.0,54,1,44.4
7.79,6,0.0,172,0,45.3
7.86,4,0.0,139,1,36.8
8.19,6,0.0,180,0,45.3
8.15,9,1.9,84,0,49.8
7.99,8,0.0,146,0,45.6
8.03,4,0.0,177,1,34.5
8.32,10,3.9,93,1,52.3
7.85,7,2.4,55,1,38.5
8.14,2,7.5,140,1,36.3
7.95,1,0.0,104,1,27.7
7.95,3,2.5,89,1,39.2
8.27,7,5.5,180,1,46.3
8.21,3,2.2,154,0,41.6
8.2,6,2.2,121,0,45.8
8.33,2,0.7,43,0,31.6
8.01,9,0.0,74,1,40.3
8.17,4,0.0,93,1,33.9
7.92,9,1.7,121,1,48.9
8.08,9,0.0,123,0,45.0
7.97,1,0.0,37,0,30.7
8.02,5,0.0,175,1,42.3
8.15,1,4.9,129,0,34.7
7.8,9,0.0,35,1,45.1
8.52,6,0.0,148,0,44.4
7.75,2,0.0,49,0,32.0
7.7,2,0.0,150,1,34.6
8.29,5,0.0,148,0,36.5
8.2,9,0.0,179,1,45.4
8.16,7,1.9,100,0,48.7
8.16,8,6.7,65,0,53.3
8.0,5,0.1,54,1,30.5
7.78,1,0.0,49,1,29.8
8.02,10,0.0,161,1,41.2
7.83,1,0.0,150,1,30.2
8.24,9,0.0,178,1,48.4
7.96,5,0.0,95,1,33.6
7.79,1,4.9,160,0,32.4
7.92,7,0.0,54,0,39.9
8.1,10,0.0,171,0,51.8
7.86,9,3.8,44,1,51.0
7.79,3,0.0,158,1,35.3
8.06,3,3.7,95,0,41.1
8.06,6,5.3,72,0,42.7
7.87,6,0.0,149,0,43.0
7.88,7,0.0,170,1,39.0
8.06,3,0.7,155,1,33.0
7.64,9,0.0,95,1,42.1
7.65,6,0.0,102,1,38.9
7.82,8,9.7,74,0,48.1
7.95,6,0.0,162,1,37.4
8.08,5,0.0,57,0,39.1
8.37,10,0.0,171,1,49.9
8.21,6,2.6,136,0,42.3
7.96,8,0.0,135,0,44.0
8.0,9,0.0,164,0,47.6
7.75,7,0.0,144,1,43.5
8.0,6,0.0,94,0,42.3
7.93,1,1.2,101,1,25.5
8.08,1,2.3,71,0,28.8
7.79,3,0.0,118,0,31.2
8.13,3,0.0,58,1,29.5
8.38,4,0.0,142,0,39.4
7.97,4,0.0,70,0,33.2
8.1,5,0.0,166,0,47.8
8.17,5,0.0,148,1,39.7
7.9,2,0.0,169,0,34.1
8.06,1,0.0,52,0,29.2
8.0,7,2.7,159,1,39.6
8.02,6,4.2,168,1,39.2
7.81,5,0.0,42,0,40.8
8.01,6,0.0,180,1,45.5
8.12,8,2.8,93,1,37.7
8.36,5,10.0,78,0,46.7
8.24,6,0.0,111,1,43.3
8.54,9,8.3,32,0,51.1
7.81,8,4.2,169,1,51.3
8.22,5,0.0,88,0,41.5
8.05,6,0.0,126,1,40.5
8.55,3,0.0,139,0,36.4
7.8,6,0.0,158,1,39.7
7.79,10,0.0,85,0,47.7
7.85,6,6.9,150,1,44.4
7.47,9,12.9,59,1,50.7
7.87,5,0.0,149,0,38.8
7.81,10,0.0,172,1,42.8
8.04,6,0.0,52,1,36.3
8.09,1,0.0,59,0,26.1
8.47,6,0.0,130,0,39.9
8.24,4,3.0,42,1,32.4
7.86,1,0.0,73,0,31.5
7.78,8,0.0,74,0,40.9
8.12,4,0.0,120,1,32.0
7.67,8,0.0,85,1,43.4
8.46,4,0.0,120,0,36.3
8.29,3,0.0,126,0,32.7
7.88,10,0.0,152,1,50.7
7.57,5,0.0,175,1,36.8
8.34,6,0.0,123,1,39.9
7.97,6,0.0,102,0,40.5
8.31,6,0.0,86,1,39.8
7.6,9,3.6,140,1,49.2
7.85,7,0.0,175,0,44.9
8.0,5,0.0,155,1,33.2
8.01,8,0.0,77,0,45.8
7.89,3,0.0,170,1,32.4
8.16,6,3.7,152,0,48.0
7.73,9,0.0,62,0,43.3
7.96,6,5.1,150,0,44.7
8.03,8,0.0,92,0,41.0
8.13,7,0.0,122,0,46.7
8.18,8,1.8,93,0,50.6
7.72,9,0.0,52,1,41.2
7.62,4,0.0,156,0,36.9
8.32,3,4.2,163,0,37.4
8.08,5,0.6,82,1,33.9
7.81,7,0.0,83,0,44.5
8.39,3,0.0,113,0,34.5
8.03,1,0.0,161,0,33.5
8.29,4,0.0,50,1,33.0
8.02,9,0.0,160,0,51.9
8.52,7,6.3,173,0,49.5
8.44,5,0.0,131,1,41.3
7.94,3,2.4,46,1,36.9
8.24,5,0.0,88,1,31.1
8.16,3,0.0,58,1,30.5
8.34,2,11.2,87,0,39.3
7.76,9,0.0,161,1,43.9
8.17,10,0.0,45,0,50.0
8.26,3,0.0,91,1,35.3
7.56,2,2.0,125,1,24.3
7.7,4,0.0,167,1,28.9
7.49,5,0.0,85,0,42.2
7.93,3,0.0,157,0,35.4
8.18,4,0.0,134,0,38.5
8.38,3,0.4,145,1,30.9
8.02,7,0.0,166,0,45.6
8.41,7,0.0,37,1,43.6
7.65,6,0.0,127,0,42.6
7.57,5,7.1,153,0,44.4
7.99,9,3.3,169,0,46.5
8.1,9,1.4,63,1,47.0
7.99,3,0.0,100,1,31.6
7.48,3,0.0,50,1,27.0
7.98,6,0.0,163,1,42.0
7.67,2,4.9,166,0,34.0
8.17,5,5.8,121,1,42.2
8.09,6,3.5,36,1,42.3
7.77,6,0.0,56,1,36.8
7.87,4,0.0,139,1,33.4
7.74,6,0.0,179,0,41.2
7.98,9,7.2,164,1,52.1
8.24,3,0.0,159,1,32.7
7.75,7,4.4,111,1,49.8
8.13,1,0.0,179,0,28.6
7.87,2,0.0,162,0,33.5
7.8,6,0.0,99,0,41.5
7.97,2,0.0,154,0,34.4
7.74,1,0.0,114,1,25.3
7.86,3,0.0,143,0,39.2
7.7,6,0.0,177,1,41.8
8.49,7,0.0,84,1,43.4
8.01,3,3.6,159,1,33.6
7.83,7,6.3,135,1,43.6
8.05,3,0.0,175,0,38.4
7.97,6,0.0,63,0,36.7
7.94,5,0.0,150,1,39.3
8.15,7,1.6,40,1,39.6
8.19,10,0.0,84,0,53.2
7.87,9,0.0,97,0,46.1
7.86,1,1.7,114,1,33.7
7.93,8,0.0,177,0,49.0
7.42,2,7.0,48,0,35.2
7.62,9,0.0,70,1,40.9
8.34,4,0.0,76,0,37.7
8.41,5,0.0,112,1,35.7
7.94,2,1.1,46,0,26.7
8.14,2,1.8,177,1,32.6
8.08,7,0.0,131,1,45.0
8.7,9,0.0,161,0,51.2
8.28,6,0.0,156,0,42.7
7.97,7,6.9,143,0,47.8
7.76,7,0.0,171,1,48.7
7.6,4,3.2,170,0,41.6
8.05,1,0.0,61,0,24.4
7.81,1,0.0,170,0,30.2
7.64,5,0.0,126,0,37.7
7.84,4,1.7,88,0,34.9
7.73,2,0.0,137,1,30.0
8.42,3,0.0,90,1,30.6
8.22,2,0.0,120,0,32.0
8.0,9,0.0,161,1,47.1
8.37,3,0.0,39,0,29.1
8.02,6,1.0,73,1,31.6
7.78,6,0.0,176,1,43.7
8.38,6,10.2,115,1,48.2
8.13,2,6.8,94,1,34.7
7.74,4,3.6,173,1,38.4
7.95,2,3.6,171,1,33.0
7.78,5,0.0,42,1,42.8
7.65,3,8.0,103,0,39.2
8.23,6,0.0,172,0,51.8
8.48,7,0.0,72,0,49.9
7.65,6,3.1,133,0,44.6
8.14,5,0.0,97,1,35.6
7.84,5,4.3,152,1,39.8
7.88,8,0.6,68,1,40.5
7.85,3,3.3,135,1,35.6
7.78,7,0.0,30,0,42.8
8.01,7,0.0,85,1,36.3
7.79,5,0.0,69,0,45.4
8.07,4,4.6,78,1,33.7
7.99,5,0.0,166,1,29.9
7.94,2,0.0,172,1,31.2
7.77,1,0.0,154,1,24.8
7.86,2,0.0,135,0,32.9
8.19,3,0.0,82,0,34.7
8.13,6,0.0,89,1,39.5
7.76,8,0.0,95,1,44.9
8.02,4,0.5,157,1,32.8
8.19,9,0.0,85,0,46.7
7.58,9,0.0,178,0,51.1
8.14,9,0.0,159,0,47.9
7.83,8,4.7,180,1,41.8
8.14,5,0.0,117,0,41.7
7.81,2,0.0,135,1,28.3
7.55,6,0.0,90,0,37.9
7.59,6,0.0,136,1,38.6
8.01,8,0.0,178,1,45.0
8.06,10,0.0,38,0,51.3
7.77,6,6.6,92,0,40.6
8.16,4,0.0,90,1,40.7
7.58,3,0.0,179,1,28.7
7.98,1,0.0,63,0,27.9
7.7,6,0.0,161,1,36.7
7.84,6,5.6,89,1,41.0
8.01,8,0.0,166,1,44.7
7.78,6,3.0,121,1,40.6
7.9,9,3.8,84,1,47.1
8.25,6,0.0,149,1,44.2
7.86,8,6.6,164,1,48.6
8.21,3,0.0,119,1,36.9
7.72,8,0.0,150,0,41.1
8.13,7,0.0,72,0,36.3
8.36,3,0.0,174,0,38.1
7.38,3,0.0,55,0,32.7
7.8,9,0.0,80,0,45.1
8.14,1,0.0,91,0,30.2
7.95,5,0.0,67,0,41.1
8.09,4,0.0,110,0,39.3
7.85,7,0.0,117,0,42.5
8.02,8,0.0,125,0,47.0
7.96,5,0.0,41,1,36.4
8.29,5,0.0,79,1,32.4
8.06,10,0.0,160,1,46.5
8.08,7,0.0,161,1,45.2
7.9,8,0.0,98,0,40.1
7.88,5,0.0,118,1,33.0
7.89,4,1.3,73,1,29.9
8.1,5,0.0,162,0,43.9
7.89,7,0.0,176,1,39.2
8.07,2,0.0,92,0,34.7
8.52,4,0.0,157,1,35.8
8.22,1,0.0,102,0,36.1
7.92,5,0.0,30,1,34.1
8.3,8,0.0,136,0,50.6
7.9,1,0.0,110,0,31.6
7.49,7,0.2,155,1,39.5
7.75,9,0.0,154,1,45.8
7.53,4,0.0,175,0,37.9
7.91,7,1.4,114,1,40.0
8.0,10,0.0,121,0,53.3
8.42,9,5.3,109,0,59.8
8.08,4,0.0,93,0,37.1
7.95,2,0.0,141,1,32.7
8.21,3,0.0,163,1,35.6
7.45,7,6.4,68,1,34.1
8.06,7,0.0,179,0,47.4
8.19,7,5.7,146,0,50.0
7.63,4,0.0,157,0,33.8
8.29,3,0.0,180,1,29.4
8.08,6,5.0,123,0,46.4
7.9,5,0.0,49,0,42.2
8.16,7,5.4,158,1,44.7
8.57,5,0.0,167,1,38.4
8.05,4,1.6,69,0,43.9
8.06,4,0.0,37,1,34.7
7.89,3,0.0,63,0,29.6
7.79,4,4.3,97,0,36.6
8.21,2,0.0,173,1,38.7
7.79,4,0.0,30,0,32.2
8.02,1,0.0,160,0,30.5
7.88,3,0.0,165,1,35.3
8.12,7,3.0,161,0,46.5
8.08,4,0.0,51,1,33.9
8.26,7,0.0,146,0,46.3
7.87,7,0.0,176,0,44.9
7.93,6,0.8,60,0,43.9
7.76,9,0.0,39,0,41.5
7.89,1,0.0,167,0,32.3
8.09,7,0.0,141,1,40.1
8.19,9,0.0,142,0,54.5
7.77,8,0.4,177,0,47.1
8.22,3,0.0,156,0,42.6
8.34,4,0.0,108,1,33.6
8.1,3,0.0,114,1,32.6
8.47,6,1.5,65,1,42.5
7.81,7,0.0,94,1,36.9
7.69,4,0.0,115,1,38.0
7.56,6,0.0,87,1,36.8
8.37,7,5.7,172,1,48.1
8.16,5,0.0,33,0,39.0
7.99,8,0.0,134,0,46.4
8.07,7,0.0,156,1,39.8
7.72,2,0.0,152,0,33.5
8.61,6,2.6,141,0,39.5
8.03,4,0.0,110,0,33.2
8.03,6,5.2,172,1,43.1
8.18,9,0.0,98,0,52.8
8.12,8,0.0,154,0,52.1
8.06,5,0.0,173,1,41.3
7.8,4,1.0,62,0,31.1
8.12,4,0.0,175,1,37.3
8.47,6,4.7,157,1,41.3
8.34,2,0.0,138,0,34.2
8.4,6,0.0,105,1,42.2
7.87,1,4.7,171,0,36.8
7.75,4,4.5,42,1,38.0
7.97,3,0.0,113,0,30.7
8.01,10,0.0,155,0,48.6
8.27,7,0.0,161,0,50.4
7.58,4,0.0,76,1,36.6
8.38,2,0.0,43,1,28.6
7.96,6,0.0,160,1,39.8
7.89,3,0.0,112,1,35.2
7.75,6,0.0,65,1,38.1
7.59,8,5.1,52,0,48.0
8.21,6,0.0,141,1,37.2
8.02,6,0.0,134,0,45.7
7.68,6,0.4,165,1,39.0
7.68,9,0.0,39,1,38.0
7.92,9,0.0,167,1,44.3
8.42,6,0.0,169,1,39.5
7.94,4,0.0,116,0,41.6
7.62,5,3.1,50,0,36.3
7.94,3,0.0,175,1,34.9
7.93,6,0.0,49,0,33.2
7.33,6,0.0,135,0,43.4
7.99,2,8.0,122,0,35.5
7.94,3,0.0,163,0,37.5
8.17,5,0.0,123,0,41.3
8.46,8,0.0,119,1,46.2
8.28,6,0.0,168,0,44.9
7.93,7,0.0,177,0,51.3
7.72,4,0.0,129,1,34.6
8.64,6,0.0,117,0,50.1
8.01,5,0.0,163,1,39.8
8.0,7,0.0,163,0,46.1
7.99,2,0.0,96,0,34.9
8.05,5,1.7,133,0,41.7
7.96,4,0.0,67,1,34.1
7.86,4,0.0,140,0,38.7
7.86,9,0.0,163,1,47.1
7.99,3,0.0,74,1,37.2
7.86,4,0.0,97,1,40.2
7.82,6,4.3,116,0,44.8
8.03,8,0.0,164,0,51.4
7.94,5,3.0,152,0,45.8
8.38,7,5.7,96,0,50.9
7.34,8,0.0,84,1,42.1
8.27,4,2.9,148,0,42.6
8.31,5,0.0,120,0,42.1
7.48,5,0.0,135,1,33.6
7.91,8,0.0,142,0,46.4
7.91,1,0.0,131,0,27.3
7.65,4,6.4,138,1,39.6
7.81,7,4.1,169,0,48.7
7.72,6,8.3,167,1,46.6
8.44,5,0.0,66,0,36.8
8.23,6,0.0,134,1,42.7
8.32,3,0.0,115,0,37.3
8.18,5,0.0,91,1,42.9
7.72,6,0.0,140,0,44.1
7.87,9,0.0,124,0,46.4
8.12,4,0.0,157,0,34.8
7.69,8,0.0,54,0,44.1
8.18,6,0.0,94,1,35.4
7.94,1,0.0,37,1,23.0
7.91,7,1.7,153,0,42.9
8.18,1,0.0,172,0,31.1
8.11,10,0.0,134,1,52.7
7.91,8,7.5,138,1,45.1
8.29,4,2.5,42,0,36.0
7.73,4,1.2,123,1,30.2
8.15,5,0.0,127,1,32.1
8.15,5,0.0,41,0,36.8
7.92,5,1.8,157,0,42.2
8.08,4,0.0,90,1,30.2
7.69,6,0.0,151,0,37.4
8.23,3,0.0,109,1,26.8
7.95,8,0.0,180,0,48.3
7.87,8,0.0,78,1,44.4
8.26,5,0.0,45,0,33.7
7.82,8,0.0,178,0,45.5
7.65,4,3.1,84,1,37.6
7.61,1,0.0,140,1,26.8
8.15,6,3.0,105,1,40.2
7.68,5,0.0,141,0,40.6
8.44,6,0.0,135,0,42.0
7.48,8,0.0,149,0,43.4
8.42,9,1.0,35,1,45.4
8.05,6,0.0,163,1,36.1
7.98,7,0.0,120,1,36.1
7.86,2,12.8,125,1,35.4
8.1,3,0.0,110,0,37.3
7.99,7,2.3,179,0,50.6
8.28,5,5.8,160,0,43.6
8.03,5,2.3,95,0,42.8
8.04,4,0.0,158,0,42.8
7.91,6,0.0,114,1,38.5
7.99,3,1.7,167,0,39.5
8.08,6,0.0,38,0,45.1
7.57,3,0.0,102,0,31.5
7.66,2,2.5,113,0,32.7
8.19,4,0.0,153,1,40.7
8.04,4,6.7,73,1,34.3
7.95,8,6.7,91,1,46.7
8.0,2,4.6,151,0,34.8
8.09,3,0.0,50,0,37.4
7.87,6,0.0,76,1,33.6
7.81,5,0.0,154,1,36.9
8.05,1,0.0,168,0,29.2
7.76,1,0.0,151,0,26.7
8.1,10,0.0,127,0,45.4
7.57,7,0.0,55,1,37.5
8.26,5,0.0,162,1,40.0
8.12,5,1.4,61,1,36.0
8.06,4,0.0,107,1,34.9
8.25,4,0.0,44,0,34.4
8.42,6,0.0,149,1,43.7
8.25,8,0.4,123,1,46.3
7.54,3,0.0,171,1,33.0
7.68,8,0.0,64,0,44.3
7.84,2,0.0,162,0,32.5
8.01,3,0.0,124,0,41.2
8.13,1,0.8,104,1,30.5
7.82,3,3.5,141,1,34.2
8.05,9,0.0,158,1,46.1
7.81,5,2.6,115,0,39.4
7.85,2,1.9,82,1,28.7
7.65,9,2.5,172,0,51.3
7.77,8,0.0,95,0,39.8
7.66,7,0.0,180,0,44.2
7.76,9,0.0,156,0,48.5
8.26,3,0.0,147,1,33.6
7.76,8,0.0,33,0,43.5
8.66,7,5.7,116,0,49.0
8.12,8,1.5,123,1,45.7
8.05,8,3.3,105,1,44.5
7.79,4,0.0,66,0,38.2
8.18,7,0.0,104,0,45.9
7.86,4,0.0,50,1,38.7
8.03,4,0.0,92,0,38.7
8.64,2,2.2,52,0,31.6
7.98,9,0.0,154,0,48.9
8.29,4,11.2,145,0,44.1
7.82,6,0.0,174,1,40.0
7.99,5,0.0,106,1,39.4
8.44,9,0.0,158,1,46.7
7.84,4,0.0,134,1,32.7
8.45,7,0.0,142,1,44.3
8.18,8,0.0,129,1,41.5
7.86,5,0.0,157,1,34.7
8.16,5,1.6,41,1,36.7
